Year,   Catch (tonnes)
1950,  	 34708.1
1951,  	 26751.3
1952,  	 38310.1
1953,  	 54465.4
1954,  	 84789.2
1955,  	 82367.4
1956,  	104957.7
1957,  	 87721.1
1958,  	113142.8
1959,  	115269.4
1960,  	 62464.7
1961,  	 63250.7
1962,  	 46197.1
1963,  	 65790.4
1964,  	 52730.8
1965,  	 63738.6
1966,  	 49493.0
1967,  	 38771.8
1968,  	 42240.1
1969,  	 41614.6
1970,  	 64466.2
1971,  	 56662.1
1972,  	 66295.8
1973,  	 51665.4
1974,  	 50316.2
1975,  	 42871.3
1976,  	 37203.8
1977,  	 26824.7
1978,  	 38917.4
1979,  	 57650.6
1980,  	 56922.5
1981,  	 66952.7
1982,  	 61567.9
1983,  	 63918.2
1984,  	 57405.7
1985,  	 63663.5
1986,  	 68551.8
1987,  	 54323.2
1988,  	 55573.0
1989,  	 57239.3
1990,  	 57593.4
1991,  	 49441.4
1992,  	 41035.5
1993,  	  5313.1
1994,  	  1339.7  
1995,  	  1014.6
1996,  	  1118.7
1997,  	  1737.5
1998,  	  2685.5
1999,  	  6166.6
2000,  	  6057.9
2001,  	  6320.2
2002,  	  5117.9
2003,  	   287.6
2004,  	  2312.0
2005,  	  2850.5
2006,  	  3024.0
2007,  	  1465.1
2008,  	  1646.3
2009,  	   149.1
2010,  	   103.0
2011,  	   114.3
2012,  	   171.7
2013,  	   111.2
2014,  	   113.7
2015,       104.4
2016,       115.1
2017,        58.7
2018,        59.0 
