year,nuisance,science,canpup,can1plus,cull1plus,cullpup
1960,0,0,0,0,0,0
1961,0,0,0,0,0,0
1962,0,0,0,0,0,0
1963,0,0,0,0,0,0
1964,0,0,0,0,0,0
1965,0,0,0,0,0,0
1966,0,0,0,0,0,0
1967,0,0,0,0,0,0
1968,0,0,0,0,0,0
1969,0,0,0,0,159,485
1970,0,22,0,0,0,70
1971,0,0,0,0,45,361
1972,0,0,0,0,80,191
1973,0,0,0,0,39,127
1974,0,1,0,0,75,560
1975,0,1,0,0,447,1238
1976,0,1,0,0,16,79
1977,0,0,0,0,308,673
1978,0,0,0,0,57,267
1979,0,9,0,0,190,215
1980,0,0,0,0,336,994
1981,0,0,0,0,552,1242
1982,0,199,0,0,880,961
1983,0,12,0,0,814,1721
1984,0,12,0,0,135,96
1985,0,0,0,0,141,113
1986,0,230,0,0,402,180
1987,0,249,0,0,456,593
1988,0,298,0,0,379,90
1989,0,45,0,0,138,1700
1990,0,16,50,0,48,38
1991,0,0,50,0,0,0
1992,0,260,50,0,0,0
1993,0,6,50,0,0,0
1994,0,39,50,0,0,0
1995,0,5,50,0,0,0
1996,0,33,50,0,0,0
1997,0,25,50,0,0,0
1998,0,20,50,0,0,0
1999,0,69,50,0,0,0
2000,0,89,50,0,0,0
2001,0,39,50,0,0,0
2002,0,100,50,0,0,0
2003,0,13,50,0,0,0
2004,0,93,50,0,0,0
2005,0,12,579,0,0,0
2006,0,28,1027,0,0,0
2007,0,87,879,0,0,0
2008,0,100,210,0,0,0
2009,0,0,0,0,0,0
2010,0,150,58,25,0,0
2011,0,210,200,18,0,0
2012,0,159,200,18,0,0
2013,0,58,200,18,5,20
2014,0,82,82,0,0,0
2015,0,42,1151,0,0,0
2016,0,30,1588,0,0,0
